Genus,Species,Collect,Number,Collnum,Herbari,Country,Plheigh,Stemhei,Stemdia,Sheathl,Petiole,Peduncl,Distanc,Prophyl,Pedbrac,Apinlen,Apinwid,Apinang,Bpinang,Bpinlen,Bpinwid,Nodivis,Rachisl,Rachisw,Rachill,Fruitle,Fruitdi,Dlat,Dlong,Elevati
Hyospathe,elegans,Sytsma,244,2659,mo,panama,2,,0.78,,6,3.4,,,,29,,16,25,,,1,16.5,2.4,6,,,9.38,-78.82,500
Hyospathe,elegans,Knapp,246,5274,mo,panama,2.5,,0.6,14.5,8,2,,7.5,,,,22,30,,,1,13,2.3,4,,,9.42,-79.62,325
Hyospathe,elegans,Herrera,345,1494,mo,panama,,1.5,0.76,16,12,4,,,,,,20,24,49,,1,27.5,4,5,,,9.35,-78.57,400
Hyospathe,elegans,Balslev,46,62429,ny,ecuador,,1.5,0.63,9.2,3.5,2,,,,,,30,40,,,1,10,2.7,9,,,-1.5,-77.95,1080
Hyospathe,elegans,Balslev,74,60659,ny,ecuador,,2,0.46,14,,,,3.3,,27,9,27,,,,,,,5,,,-2.25,-78.17,1350
Hyospathe,elegans,Balslev,152,4419,ny,ecuador,,1,0.44,7.2,3,,,4,8,18.5,,26,37,30,,1,12.5,1.7,,,,-1.42,-77.83,1200
Hyospathe,elegans,Gentry,270,80236,mo,ecuador,1,,0.43,13.5,10.5,,,,,,4.5,30,40,,11,2,19.5,2,6,,,-3.48,-79.23,1500
Hyospathe,elegans,Neill,287,9092,mo,ecuador,1.3,,0.55,,4.5,3,,,,22.5,,30,45,,,1,10.5,2,10,,,-0.73,-77.58,1100
Hyospathe,elegans,Betancur,102,3045,ny,colombia,1.7,,,,,,,,,,,17,,,,,,3,,12.2,5.5,5.28,-76.22,800
Hyospathe,elegans,Bernal,169,1007,ny,colombia,,2,,18,24,,3.2,16.5,,20.5,12,27,54,28.5,3.3,3,40,4.8,,,,5.33,-76.5,250
Hyospathe,elegans,Bernal,177,1091,ny,colombia,,2.5,0.88,15.5,16,8,3.2,,,,1.4,24,43,43,2,10,39,3.8,13,,,5.67,-76.58,
Hyospathe,elegans,Gentry,198,47807,ny,colombia,3,,1.11,,19.5,10.4,4.5,,,34.5,8,28,53,,3.5,8,41,6.6,22,,,3.92,-77.03,100
Hyospathe,elegans,Killip,225,35155,bh,colombia,,2.75,1.05,,18.5,,5.5,,,33,7,25,47,50.5,6,6,44,4,,,,5.1,-76.7,150
Hyospathe,elegans,Gentry,226,26703,bh,ecuador,3,,,,,8,,,,,,,,,,,,,,12.8,5.9,-0.5,-79.25,650
Hyospathe,elegans,Dodson,227,7598,bh,ecuador,3,,1.08,,14,,3.6,,,21,11,22,45,,4,5,43,4.9,,,,-0.25,-79.17,530
Hyospathe,elegans,Monsalve,256,1038,mo,colombia,3,,1.36,,,9.5,,,,35,8.5,30,40,,7.5,,,5.8,21,,,3.92,-77,100
Hyospathe,elegans,Monsalve,257,1298,mo,colombia,3,,,,,9.3,1.5,,,26,4,20,44,,0.7,,,5.5,17,,,3.92,-77,100
Hyospathe,elegans,Monsalve,258,648,mo,colombia,3,,1.54,,,5.7,,,,,,,,,,,,,20,,,3.92,-77,100
