Palm_genus,Palm_epithet,Palm_species,Country_of_sampling,State,Biome,Site_name,Lat,Long,Site_ID,Palm_ID,Seed_ID,Seed_diameter_mm,Collected_measured_by,Year_of_sampling
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,77,9.41,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,78,8.17,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,79,8.71,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,80,9.3,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,81,9.44,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,82,9.01,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,83,10.03,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,84,10,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragBoaEsperanca2,-22.633263,-42.423498,Site1,Ee1,85,10.09,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantaHelena,-22.526972,-42.34591,Site2,Ee2,163,9.13,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantaHelena,-22.526972,-42.34591,Site2,Ee2,164,9.87,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantaHelena,-22.526972,-42.34591,Site2,Ee2,165,9.72,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539637,-42.360366,Site3,Ee3,86,12.15,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539638,-42.360367,Site3,Ee3,87,11.62,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539639,-42.360368,Site3,Ee3,88,10.33,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.53964,-42.360369,Site3,Ee3,89,11.56,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539641,-42.36037,Site3,Ee3,90,11.87,CarolineMarquesDracxler,2011/2012
Euterpe,edulis,Euterpe edulis,Brazil,Rio de Janeiro,Atlantic Forest,FragSantoAntonio,-22.539642,-42.360371,Site3,Ee3,91,11.62,CarolineMarquesDracxler,2011/2012
