Number,Genus,Species,Subspecies,Collector,Collnumber,Herbarium,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Stemhe,Stemdi,Shpele,Rachle,Rachwi,Nodivi,Asymme,Bapiwi,Bapimi,Differ,Basang,Apiang,Appile,Pedlen,Prople,Pedble,Peduwi,Distan,Norlla,Rllale,Rllawi,Pitwid,Pitlen,Dispit,Stapit,Fruidi,Fruile,Leafno,Stemfo,Pitcoll,Petiol,Pedtom,Filifo,Inflor,Pbscar,Prophy,Pbract,Pbsurf,Pbfold,Rachil,Rlltom,Upplip,Stasep,Flapdist,Flap,Inflobud,Flowerbud,Openfls,Immfrs,Matfrs,Oldinflo,Racpro,Lobes,Proxpin,Leaf,Fruitcolor,Lgstemhe,Lgstemdi,Lgshpele,Lgrachle,Lgrachwi,Squnodivi,Lgasymme,Lgbasang,Lgapiang,Lgappile,Lgpedlen,Lgprople,Lgpedble,Lgpeduwi,Lgdistan,Squnorlla,Lgrllale,Lgrllawi,Lgdispit,Lgfruidi,Lgfruile,Lgflapdist,Rachillacolo
18,Calyptrogyne,anomala,,de Nevers,6218,ny,panama,9.19,9.32,78.55,-78.92,200,,,,49,7,3,2.5,6,5.4,-0.6,10,20,32,41.5,20,24.8,5.8,3.7,4,8.8,4.8,2,2,3.2,2,4.8,10.5,6,1,1,0,1,0,2,2,0,1,1,1,1,0,0,,8,1,,,nov,,nov,,0,0,0,1,,,,,1.69019608,0.84509804,1.732050808,0.397940009,1,1.301029996,1.505149978,1.618048097,1.301029996,1.394451681,0.763427994,0.568201724,2,0.944482672,0.681241237,0.505149978,0.681241237,1.021189299,0.903089987,0
342,Calyptrogyne,baudensis,,Bernal,2168,col,colombia,6.07,6.12,77.26,-77.43,10,3.2,4,44,104,11.7,12,0,1.4,0.9,,31,15,45.5,,73,,7.8,1.1,1,27.8,7.4,2.8,2.7,3.5,2,,,7,1,1,1,1,,0,1,,0,,,0,0,0,,,,,,,mar,,,0,0,0,1,,0.505149978,0.602059991,1.643452676,2.017033339,1.068185862,3.464101615,,1.491361694,1.176091259,1.658011397,,1.86332286,,0.892094603,0.041392685,1,1.444044796,0.86923172,0.544068044,,,,0
347,Calyptrogyne,baudensis,,Gentry,41036,mo,colombia,6.15,6.25,77.25,-77.42,300,1.5,,,,12.5,,,,,,39,,,,,,5.4,1.3,1,31.8,7,3.2,2.5,3.2,,,,,0,1,1,1,0,0,1,,0,,,0,0,0,,,,,,,,mar,,,0,0,1,,0.176091259,,,,1.096910013,,,1.591064607,,,,,,0.73239376,0.113943352,1,1.50242712,0.84509804,0.505149978,,,,0
516,Calyptrogyne,baudensis,,Gentry,17444,mo,colombia,6.06,6.1,77.12,-77.2,350,,,,,12.1,,1.5,,,,25,,,,,,5.4,1,1,30.2,5.7,2.4,2,4,2,9.7,18.6,,1,1,1,1,,0,1,,0,,,0,0,0,,,,,,,,aug,,0,0,0,1,,,,,,1.08278537,,0.176091259,1.397940009,,,,,,0.73239376,0,1,1.480006943,0.755874856,0.602059991,0.986771734,1.269512944,,0
357,Calyptrogyne,baudensis,,Juncosa,1607,mo,colombia,6.16,6.27,77.21,-77.35,50,,,,,,9,,,,,,,,,,,5.7,1.1,1,26,5.1,2.4,2,3.5,2,10.1,15.5,,0,1,1,1,,0,1,,0,,,0,0,0,,,,,,,,jan,,,,0,1,,,,,,,3,,,,,,,,0.755874856,0.041392685,1,1.414973348,0.707570176,0.544068044,1.004321374,1.190331698,,0
519,Calyptrogyne,baudensis,,Barbosa,6401,mo,colombia,6.05,6.08,77.1,-77.17,50,,,,,,,,,,,,,,,,,4.8,1.5,1,30,6.1,2.6,2.2,4.5,2,10.8,16.7,,0,1,1,1,,0,1,,0,,,0,0,0,,,,,,,,may,,0,0,0,1,,,,,,,,,,,,,,,0.681241237,0.176091259,1,1.477121255,0.785329835,0.653212514,1.033423755,1.222716471,,0
520,Calyptrogyne,baudensis,,Garcia,357,mo,colombia,6.2,6.33,77.2,-77.33,50,3,5,,,,24,,,,,,,,,,,7.1,1.2,1,28,5.8,2.5,2.5,4,2,10.7,16.8,,0,1,1,1,,0,1,,0,,,0,0,0,,,,,,,,jun,,0,0,0,1,,0.477121255,0.698970004,,,,4.898979486,,,,,,,,0.851258349,0.079181246,1,1.447158031,0.763427994,0.602059991,1.029383778,1.225309282,,0
210,Calyptrogyne,baudensis,,Pinto,108,col,colombia,6.05,6.08,77.25,-77.42,2,,,,,9.6,,,,,,33,,,,,,5.4,1,1,24.8,6.1,2.5,2,2.2,2,11.5,16.5,,,1,1,1,,0,1,,0,,,0,0,0,,,,,,,,jun,,0,0,0,1,,,,,,0.982271233,,,1.51851394,,,,,,0.73239376,0,1,1.394451681,0.785329835,0.342422681,1.06069784,1.217483944,,
560,Calyptrogyne,baudensis,,Bernal,1753,col,colombia,6.07,6.12,77.26,-77.43,10,1.75,6,63,121,12.9,13,0.5,0.6,0.7,,17,14,47.5,195,65,,6.3,1.6,1,26.1,5.6,2.3,2.6,3.7,0,,,14.5,1,1,1,1,,0,1,,0,0,1,0,0,0,0,,,,,jan,,jan,,0,0,0,1,brown,0.243038049,0.77815125,1.799340549,2.08278537,1.11058971,3.605551275,-0.301029996,1.230448921,1.146128036,1.67669361,2.290034611,1.812913357,,0.799340549,0.204119983,1,1.416640507,0.748188027,0.568201724,,,,0
412,Calyptrogyne,brachystachys,,Hammel,15395,mo,costa rica,10.2,10.33,84.42,-84.7,1000,,,,,,,,,,,,,,,,,3.6,0.9,1,24,5.5,2.3,2.7,3,2,6.7,10.9,,1,1,0,1,0,0,0,0,0,,,0,0,0,,,,,,,,jun,,0,1,0,1,,,,,,,,,,,,,,,0.556302501,-0.045757491,1,1.380211242,0.740362689,0.477121255,0.826074803,1.037426498,,0
