Herbariu,Genus,Species,Collecto,Number,Country,Latitude,Longitud,Elevatio,Stemheig,Stemdiam,Stemclus,Stemclus,Pinclust,Pinnaecl,Lenmidpi,Widmidpi,Lfratio,Anglepin,Noveins,Inflobra,Nobracts,Lenpedun,Lenrachi,Widrachi,Ratiorac,Norachil,Lenbasra,Lenmidra,Lenapira,Nostamfl,Nostamen,Lenfruit,Widfruit,Ratiofru,Endosper,Norumina,Deprumin,Orders,Numracllae
mo,Synechanthus,warscewiczianus,Hammel,1228,Panama,7.58,78.53,833,,,,,reg,1,0.357,0.018,0.050420168,52,5,1,,,,,,,,0.221,,,,0.0133,0.0065,0.488721805,rum,8,1.9,,
mo,Synechanthus,warscewiczianus,Hammel,13656,Panama,8.38,80.38,800,,,sol,1,reg,1,0.368,0.015,0.04076087,31,3,1,8,0.364,0.066,3,45.45454545,27,0.18,0.163,0.125,8,3,,,,,,,,
mo,Synechanthus,warscewiczianus,Hammel,1629,Panama,8.35,80.33,500,,,,,reg,1,0.275,0.011,0.04,40,3,1,,,0.125,3,24,76,0.175,0.158,0.111,6,,,,,,,,,
mo,Synechanthus,warscewiczianus,Hammel,1967,Panama,8.35,80.28,566,2,,,,reg,1,0.202,0.016,0.079207921,42,3,1,,,0.071,2.2,30.98591549,30,0.116,0.119,0.084,6,,,,,,,,,
mo,Synechanthus,warscewiczianus,Hammel,2073,Panama,8.45,82.2,,,,,,reg,1,0.27,0.011,0.040740741,53,3,1,8,0.39,0.27,2.2,8.148148148,83,0.32,0.245,0.08,8,3,,,,,,,,
mo,Synechanthus,warscewiczianus,Hammel,2371,Panama,8.35,80.35,,,,,,reg,1,0.225,0.014,0.062222222,40,3,1,7,0.495,0.197,3,15.2284264,117,0.14,0.13,0.025,7,,0.0115,0.0049,0.426086957,rum,10,1.2,,
mo,Synechanthus,warscewiczianus,Hammel,4609,Panama,8.3,81.05,1100,,,,,reg,1,0.342,0.017,0.049707602,31,5,1,,0.522,0.241,4.2,17.42738589,,,0.298,0.217,9,,,,,,,,,
mo,Synechanthus,warscewiczianus,Hammel,5152,Panama,,,70,,,,,reg,1,0.44,0.062,0.140909091,25,12,1,8,0.453,0.163,3.3,20.24539877,54,0.337,0.265,0.133,7,,,,,,,,,
mo,Synechanthus,warscewiczianus,Hammel,842,Panama,9.2,78.55,400,,,,,reg,1,0.456,0.097,0.212719298,35,17,1,9,0.46,0.115,3.8,33.04347826,48,0.261,0.295,0.24,7,,0.0114,0.0042,0.368421053,rum,8,0.8,,
mo,Synechanthus,warscewiczianus,Hartman,4697,Panama,7.56,77.42,1200,,,,,reg,1,0.353,0.017,0.04815864,49,5,1,,,0.185,2.7,14.59459459,53,,0.267,0.123,8,,0.0148,0.0078,0.527027027,rum,9,2,,
mo,Synechanthus,warscewiczianus,Hartman,8494,Panama,7.56,77.42,150,,,,,reg,1,0.392,0.02,0.051020408,63,5,1,,,0.198,3.8,19.19191919,40,0.388,0.328,,8,,,,,,,,,
ny,Synechanthus,warscewiczianus,Henderson,3034,Panama,8.4,80.35,724,1.7,0.017,clu,2,reg,1,0.326,0.01,0.030674847,48,3,1,10,0.718,0.14,2.3,16.42857143,70,0.174,0.15,0.091,6,,,,,,,,,
