Number,Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Plheight,Stemlength,Stemdiameter,Leafnumber,Sheath,Petiole,Rachislen,Nodivisions,Pinlen,Pinwid,Pedbract,Pedunclelen,Straclen,Stracnum,Stflowlen,Nostamen,Psraclen,Psracnum,Fruitlen,Fruitdiam,Seeds,Acaule,Vertic,Petiol,Shefib,Pinnae,Ahairs,Auricl,Flabel,Starac,Toment,Bracte,Arrang,Stampe,Surfac,Granul,Margin,Stamen,Stalen,Anther,Pisrac,Cuspid,Pismar,String,Angled,Frgray,Fibers,Locpit,Endbas,Xfiber,Endfib,Seeded,Opercu,Hollow,Fruitcolor
235,Attalea,maripa,,M. maripa,NY,Pinard,851,Brazil,10.56,-10.93,68.28,-68.46,,21,13.9,32,16,,,,206,,,,,16.5,,8.4,6,,,,,,,,,,,,,,,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,chestnut
236,Attalea,maripa,,M. maripa,NY,Balee,3377,Brazil,3.07,-3.11,46.05,-46.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
237,Attalea,maripa,,M. maripa,NY,Balslev,60745,Ecuador,0.32,0.53,76.23,-76.38,300,,14.5,35,13,,,960,253,,,250,100,,794,,,,,,,,1,1,1,,3,,2,2,,,,,,,,,,,,,,2,,,,,,,,,,,,
239,Attalea,maripa,,M. maripa,NY,Wessels Boer,1821,Venezuela,9.45,9.75,62.54,-62.9,,,1,,25,100,190,600,,92,5.3,,,13,,9.1,6,20.5,,,,,1,,1,,3,3,2,,,1,1,6,8,2,2,2,1,1,1,,1,2,,,,,,,,,,,,
240,Attalea,maripa,,M. maripa,NY,Wessels Boer,1920,Venezuela,5.35,5.58,67.36,-67.6,,,5,,13,160,210,740,211,,,150,,13.5,,,,,476,,,,1,1,1,,3,3,2,,,1,1,,,,,,,,,,1,2,,,,,,,,,,,,
241,Attalea,maripa,,M. maripa,NY,Vasquez,1428,Peru,3.45,-3.75,73.45,-73.75,120,20,,,,,,,,,,,,22,,7.5,6,,,,,,,,,,,3,2,,,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
242,Attalea,maripa,,M. maripa,NY,Galeano,860,Colombia,0.4,-0.66,72.15,-72.25,200,,10,22,17,,,622,208,,,,,,,,,21,,,,2,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
243,Attalea,maripa,,M. maripa,NY,Wessels Boer,357,Surinam,4.59,4.98,54.58,-54.96,,,10,25,9,,,,182,,,,,9,,9.1,6,,,,,,1,,,,3,3,2,2,,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
244,Attalea,maripa,,M. maripa,NY,Mutchnick,807,Guyana,4.22,4.36,58.3,-58.5,50,12,,,,,,,,,,,,16.5,,12.7,6,,,,,,,,,,,,,,,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
245,Attalea,maripa,,M. maripa,NY,Wessels Boer,1329,Surinam,3.2,3.33,55.08,-55.13,,,4,25,17,,,490,179,,,100,,14,,7.4,6,,,,,,1,,1,,3,3,2,,,1,1,6,8,2,2,2,1,1,1,,,2,,,,,,,,,,,,
246,Attalea,maripa,,M. maripa,NY,Skov,64786,Ecuador,0.32,-0.53,76.23,-76.38,300,,20,,15,,,630,231,145,4,215,89,20.5,1000,9.4,6,,,,,,1,,1,,3,3,2,2,,1,1,6,8,2,2,2,1,1,1,,,2,,,,,,,,,,,,
247,Attalea,maripa,,M. maripa,NY,Vasquez,13810,Peru,4.1,-4.16,73.3,-73.5,,,,,,,,,,,,,,18,,7.9,6,,,,,,,,,,,3,2,,,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
248,Attalea,maripa,,M. maripa,NY,Henderson,254,Brazil,7.58,-7.96,62.02,-62.03,,,14,,,,,,,,,,,,,,,18,,57.9,26.5,,1,1,,,3,,2,,,,,,,,,,,,,,1,2,,2,2,,,,,,,,,
250,Attalea,maripa,,M. maripa,NY,Fernandez,4489,Venezuela,4.58,4.96,63.24,-63.4,350,15.5,3.5,,,,,,,,,,,,,,,,,40.3,18.8,,1,,,,3,,2,,,,,,,,,,,,,,1,2,,2,2,,,,,,,,,
251,Attalea,maripa,,M. maripa,NY,Jansen-Jacob,2389,Guyana,2.1,2.16,59.15,-59.25,200,15,,,,,250,,,,,160,,,,,,,,48.5,24.6,2,1,,1,,3,,,2,,,,,,,,,,,,,,,,2,2,,,,2,,2,,2,pale brown
252,Attalea,maripa,,M. maripa,NY,Jansen-Jacob,1060,Guyana,3.22,3.36,59.3,-59.5,165,20,,,,,,,,,,130,,13,,12.3,6,,,,,,1,1,1,2,3,3,2,2,,1,1,6,8,2,2,2,1,1,1,,,,,,,,,,,,,,,
