Number,Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Plheight,Stemlength,Stemdiameter,Leafnumber,Sheath,Petiole,Rachislen,Nodivisions,Pinlen,Pinwid,Pedbract,Pedunclelen,Straclen,Stracnum,Stflowlen,Nostamen,Psraclen,Psracnum,Fruitlen,Fruitdiam,Seeds,Acaule,Vertic,Petiol,Shefib,Pinnae,Ahairs,Auricl,Flabel,Starac,Toment,Bracte,Arrang,Stampe,Surfac,Granul,Margin,Stamen,Stalen,Anther,Pisrac,Cuspid,Pismar,String,Angled,Frgray,Fibers,Locpit,Endbas,Xfiber,Endfib,Seeded,Opercu,Hollow,Fruitcolor
42,Attalea,butyracea,,S. butyracea,NY,Beck,10178,Bolivia,13.05,-13.08,67.15,-67.25,180,,10,30,,,0,,180,109,3.6,,,16.5,,9,,,,58.9,35.2,,1,,1,,1,,1,2,,1,1,6,2,2,2,2,1,2,1,,,,,2,2,,,,1,2,,,,
,Attalea,butyracea,,S. butyracea,NY,Moraes,2518,Bolivia,14.44,-14.73,65.38,-65.63,204,,15,55,21,,,,,,4.4,,,23,,,,,,,,,1,,,,1,,1,,,,1,6,,,,,,,,,,,,,,,,,,,,,,
,Attalea,butyracea,,S. butyracea,BH,Plowman,7266,Peru,2.4,-2.66,72,-72,,15,5,60,,,,,,96.5,3.4,,,,,,,,,78,45,3,1,,,,1,,1,,,,,,,,,,,,,,1,2,1,2,2,1,,,1,2,2,,2,brown
,Attalea,butyracea,,S. butyracea,INPA,Emilio,834,Brazil,6.32,-6.53,68.41,-68.68,138,,6,35,17,,,800,200,140,,270,150,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Attalea,butyracea,,S. rostrata,MO,Steyermark,47732,Guatemala,14.15,14.25,91.19,-91.32,100,,,,,,,,,,,,,24,,16.2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Attalea,butyracea,,S. rostrata,F,Steyermark,37869,Guatemala,14.31,14.51,92.11,-92.18,,,,,,,,,,,2.8,,,21,,8.6,,,,,,,1,,1,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Attalea,butyracea,,S. rostrata,NY,Henderson,1805,Costa Rica,9.08,9.13,83.2,-83.33,350,,8,,,,0,,,,,,,26,,15.2,6,,,54.6,26,2,1,,1,,1,,,,,,,6,2,2,2,2,1,2,1,,1,2,,2,2,,,,1,2,,,,
61,Attalea,butyracea,,S. rostrata,NY,Bartlett,16352,Panama,9.06,9.1,79.37,-79.61,,,,,,,,,,,,,,28.5,,,,,,,,,,,,,,,,,,1,1,6,,,,,,,,,,,,,,,,,,,,,,
62,Attalea,butyracea,,S. rostrata,NY,Burger,6696,Costa Rica,9.35,9.58,85.06,-85.1,100,10,,,,,,,,,,,,,,,,,,45.6,22.6,,,,,,,,1,,,,,,,,,,,,,,1,2,,2,2,,,,,,,,,
75,Attalea,butyracea,,S. rostrata,NY,Howe,,Panama,9.02,9.03,79.39,-79.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
563,Attalea,butyracea,,S. rostrata,BH,Bailey,1,Panama,9.09,9.15,79.5,-79.83,,,,,,,,,,,,,,,,14,,,,52.1,31.8,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
587,Attalea,butyracea,,S. rostrata,BH,Janzen,,Costa Rica,9.59,9.98,84.41,-84.68,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
588,Attalea,butyracea,,S. rostrata,BH,Iltis,809,Costa Rica,11.02,11.03,84.44,-84.73,35,,12,,,,,,,,,,,,,,,,,45.9,30.1,,1,,,,1,,1,,,,,,,,,,,,,,1,2,,2,2,,,,,,,,,
589,Attalea,butyracea,,S. rostrata,BH,Moore,6540,Costa Rica,8.58,8.96,83.32,-83.53,,,24,,,,,822,188,,,,,35,,14.1,6,21,,54.5,25,,1,,,,1,,1,2,1,1,1,6,2,2,2,2,1,2,1,1,1,2,,2,2,,,,,,,,,orangeish
592,Attalea,butyracea,,S. rostrata,US,Read,7487,Costa Rica,8.49,8.81,82.58,-82.96,425,,,,,,,,,,,,,28,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Attalea,butyracea,,S. rostrata,US,Pittier,6654,Panama,9.04,9.06,79.4,-79.66,,,,,,,,,,,,,,25.5,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Attalea,butyracea,,S. rostrata,US,Little,25118,Nicaragua,14.19,14.31,83.56,-83.93,40,15,,40,,,,,,,3.2,,,36,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Attalea,butyracea,,S. rostrata,US,Read,747,Costa Rica,9.59,9.98,84.4,-84.66,50,,,,,,,,,,,,,,,,,,,54,25.1,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
599,Attalea,butyracea,,S. rostrata,US,Cook,,Costa Rica,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Attalea,butyracea,,S. rostrata,MO,Rodriguez,254,Costa Rica,9.51,9.85,85.21,-85.35,40,7,,40,,,,,,,,,,,,11.5,6,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
634,Attalea,butyracea,,S. rostrata,MO,Stevens,29934,Nicaragua,12.22,12.36,85.15,-85.25,355,15,,,,,,,,,,,,,,,,27,,57.1,27.2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,orange
660,Attalea,butyracea,,S. rostrata,MO,de Nevers,7766,Costa Rica,8.57,8.95,83.07,-83.11,,,7.5,50,,,,,,,,,,36.5,,15.1,,12.5,,52.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
662,Attalea,butyracea,,S. rostrata,MO,Liesner,2769,Costa Rica,10.2,10.33,85.12,-85.2,50,12,,,,,,,,,,,,24.5,,,,,,53.2,26,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
663,Attalea,butyracea,,S. rostrata,MO,Croat,16649,Panama,9.03,9.05,79.38,-79.63,75,,,,,,,,,,,,,19,,,,13,,49.3,25.5,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
664,Attalea,butyracea,,S. rostrata,MO,Croat,6100,Panama,9.09,9.16,79.5,-79.83,,,,,,,,,,,,,,21,,14.5,,,,56.3,27.6,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
697,Attalea,butyracea,,S. rostrata,MO,Vincelli,342,Nicaragua,13.42,13.7,84.51,-84.85,130,21,,55,,,,,,,,,,20.5,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Attalea,butyracea,,S. rostrata,MO,Smith,,Nicaragua,10.55,10.91,83.42,-83.7,,,,,,,,,,,,,,,,,,,,53.8,25.9,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
719,Attalea,butyracea,,S. rostrata,MO,Hamilton,2979,Panama,8.55,8.91,79.35,-79.58,100,15,,,,,,,,,,,,,,,,,,59.9,27.6,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
562,Attalea,butyracea,,S. salazarii,BH,Mooore,8478,Peru,4,-4,73.3,-73.5,,,,53,,,,,,,,,46,25.5,,11.8,,26,,56.8,27.9,2,,,,,,,,,1,1,1,6,2,2,2,2,1,2,1,1,1,2,,2,2,,,,1,2,,,,
579,Attalea,butyracea,,S. salazarii,BH,Moore,8481,Peru,3.53,-3.88,73.18,-73.3,,15.2,,43,,,,914,,,,,66,24,,,,10.5,,,,2,1,,1,,1,,1,2,1,1,1,6,2,2,2,2,1,2,1,1,,,,,,,,,,,,,,
580,Attalea,butyracea,,S. salazarii,BH,Moore,8479,Peru,3.53,-3.88,73.18,-73.3,,,,,,,,,,,,,,,,,,14,,80,30.9,2,,,,,,,,,,,,,,,,,,,,1,,,,2,2,,,,1,2,,,,
694,Attalea,butyracea,,S. salazarii,MO,Gentry,38074,Peru,5.02,-5.03,74.3,-74.5,,,1.5,,,,,,,,,,,,,,,6.5,,76.4,42.6,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
49,Attalea,butyracea,,S. tessmanni,NY,Tessmann,5085,Peru,3.45,-3.75,73.15,-73.25,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Attalea,butyracea,,S. tessmanni,NY,Tessmann,5088,Peru,3.44,-3.73,73.16,-73.26,,,,,,,,,,,,,,45.5,,17.9,6,,,,,,,,,,,,,,,1,1,6,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
35,Attalea,butyracea,,S. wesselsboerii,NY,Wessels Boer,1990,Venezuela,8.45,8.75,70.08,-70.13,200,,30,43,12,120,0,550,221,,,,200,18,,8.5,6,11,,51.3,26.6,1,1,,1,,2,,1,,,1,1,6,2,2,2,2,1,2,1,,1,2,,2,2,,,,1,2,,,,
129,Attalea,butyracea,,S. wesselsboerii,NY,Bernardi,3355,Venezuela,8.45,8.75,70.24,-70.41,,15,,,,,,,,,,,,,,14.9,6,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
70,Attalea,butyracea,,S. butyracea,NY,Alexiades,982,Peru,12.5,-12.83,69.17,-69.28,260,15,,,,,,,,,,,,13.5,,13.6,6,,,,,,1,,,,1,3,1,2,1,,,6,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
85,Attalea,cephalotus,,S. cephalotes,NY,Fleck,765,Peru,5.17,-5.28,73.09,-73.15,150,,5.65,29,17,,,,,,,,,,,,,,,,,,1,,,,1,1,1,2,,,,,,,,,,,,,,2,,,,,,,,,,,,
806,Attalea,cephalotus,,S. cephalotes,AAU,Balslev,7943,Peru,7.43,-7.71,75.11,-75.18,139,,8,27,15,120,0,750,198,,,125,54,,,,,,,110.6,30.1,,1,,1,,1,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,,,
,Attalea,cephalotus,,S. cephalotes,MO,Núñez,11884,Peru,12.55,-12.91,72.39,-72.65,1100,7,,,,,,,,,,,,,,,,1.2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Attalea,cephalotus,,S. cephalotes,AAU,Balslev,7946,Peru,7.44,-7.73,75.09,-75.15,162,,8.9,25,20,66,0,722,176,,,164,,11.7,430,8.8,6,,,,,,1,,1,,1,,1,2,1,1,1,7,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
808,Attalea,cephalotus,,S. cephalotes,AAU,Balslev,7904,Peru,7.29,-7.48,75.06,-75.1,136,,,,,,,,,,,,,,,,,,,91.5,34.8,,,,,,,,,,,,,,,,,,,,,,1,2,,1,2,,,,,,,,,
60,Attalea,cephalotus,,S. cephalotes,NY,Ferreira,311,Brazil,8.02,-8.03,70.43,-70.71,,,2,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,
63,Attalea,cephalotus,,S. cephalotes,NY,Killip,27633,Peru,5.53,-5.88,76.08,-76.13,,,,,,,,,,,3.9,,,,,,,,,63.6,32.1,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,
68,Attalea,cephalotus,,S. cephalotes,NY,Campos,937,Brazil,8.27,-8.45,71.49,-71.81,,6,,,,200,,900,105,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
98,Attalea,cephalotus,,S. cephalotes,NY,Kahn,2148,Peru,12.39,-12.65,69.11,-69.18,,,3.5,,,,,,200,,4.1,,,8,,7.8,6,,,,,,1,,,,,,,,,1,1,7,2,2,2,2,1,2,1,,,2,1,,,,,,,,,,,
101,Attalea,cephalotus,,S. cephalotes,NY,Campos,962,Brazil,8.22,-8.36,71.44,-71.73,,5,,,,90,,520,172,89,3.3,,100,,,,,,,85.8,33.8,,,,,,,,1,2,,,,,,,,,,,,,1,2,,1,2,,,,,,,,,brown
102,Attalea,cephalotus,,S. cephalotes,NY,Henderson,1659,Brazil,8.2,-8.33,72.15,-72.25,,,8,35,17,170,0,,,,,,,,,,,,,110.6,38.9,3,1,2,1,2,1,1,1,,,,,,,,,,,,,,1,2,,1,2,1,2,1,1,1,2,1,2,
103,Attalea,cephalotus,,S. cephalotes,NY,Ely,13,Bolivia,11.2,-11.33,69.15,-69.25,275,,5,,,,,,192,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
105,Attalea,cephalotus,,S. cephalotes,NY,Barbour,5132,Peru,12.49,-12.81,69.17,-69.28,260,5,3,,,,,,,,,,,,,,,,,78.5,34.2,4,1,,,,1,,1,,,,,,,,,,,,,,1,2,,1,2,,,,1,1,,,,
109,Attalea,cephalotus,,S. cephalotes,NY,Moreno,252,Bolivia,11.08,-11.13,69.04,-69.06,262,10,4,,13,70,0,,200,,,,,9.5,,8.3,6,2,,92.8,38.7,3,1,,1,,1,,1,2,,1,1,7,2,2,2,2,1,2,1,,1,2,,1,2,,,,1,1,,,,
120,Attalea,cephalotus,,S. cephalotes,NY,Henderson,1643,Peru,12.36,-12.6,69.12,-69.2,,,,,,,,,,,,,,6.5,,8,6,,,81.6,42.7,3,1,,,,1,,,,1,,,7,2,2,2,2,1,2,1,,,,,1,2,1,,1,1,1,2,1,,
126,Attalea,cephalotus,,S. cephalotes,NY,Alexiades,1292,Peru,12.3,-12.5,68.38,-68.63,180,10,,,26,,,,218,,2.6,,,,,,,,,72.4,30.4,3,1,,,,2,,,,,,,,,,,,,,,,1,2,,1,2,,,,1,1,,,,
388,Attalea,cephalotus,,S. cephalotes,NY,Graham,1780,Peru,10.04,-10.06,71.06,-71.1,325,32.5,,,,,,,174,,3.5,,,11.5,,,,,,,,,,,,,1,,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,
535,Attalea,cephalotus,,S. cephalotes,BH,Schultes,8609,Colombia,3.5,-3.83,70.37,-70.62,100,,,,,,,,,113,4.6,,,,,,,,,79.8,34.2,4,,,,,1,,1,,,,,,,,,,,,,,1,2,,1,2,1,2,1,1,1,2,1,,
635,Attalea,cephalotus,,S. cephalotes,MO,Phillips,625,Peru,12.49,-12.81,69.18,-69.3,290,,2,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Attalea,cephalotus,,S. cephalotes,MO,Foster,9942,Peru,11.5,-11.83,71.25,-71.41,350,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Attalea,cephalotus,,S. moorei,NY,Tessmann,5439,Peru,5.31,-5.51,74.22,-74.36,,,,,,,,,,,,,,10,,9.5,6,,,,,,,,,,,,,,,,1,7,2,2,2,2,1,2,1,,,,,,,,,,,,,,,
556,Attalea,cephalotus,,S. moorei,BH,Moore,8392,Peru,9.13,-9.21,75.59,-75.98,,,,,,,,,200,103,6,,,,,,,0.5,,89,53,3,1,,,,1,,1,,,,,,,,,,,,,,,,,1,2,,,,1,1,,,,
558,Attalea,cephalotus,,S. moorei,BH,Gentry,25731,Peru,8.06,-8.1,76.33,-76.55,,,,,,,,,,,,,,,,,,,,92.6,39.1,,,,,,1,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,
559,Attalea,cephalotus,,S. moorei,BH,Moore,8536,Peru,6.3,-6.5,76.21,-76.35,420,,,,,,,,190,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,Attalea,cephalotus,,S. cephalotes,NY,Ferreira,170,,,,,,,,,,,,,,,92,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attalea,cephalotus,,S. cephalotes,NY,Valenzuela,2169,Peru,12.32,-12.53,69.03,-69.05,220,9,,,,,,,,,5.2,,,,,,,,,,,,1,,,,,,1,2,,,,,,,,,,,,,1,2,1,1,2,,,,,,,,,
828,Attalea,cohune,,O. cohune,F,Steyermark,45211,Guatemala,15.56,15.93,90.07,-90.11,125,,,,,,,,,,,,,,,10.3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,Attalea,cohune,,O. cohune,F,Turner,,Belize,16.06,16.1,88.48,-88.8,,,,,,,,,,,,,,,,6.6,25,,,,,,,,,,,,,,,1,2,2,3,1,2,2,2,3,2,,,,,,,,,,,,,,,
780,Attalea,cohune,,O. cohune,F,Steyermark,45693,Guatemala,15.52,15.86,90.05,-90.08,,,,,,,,,,,,,,,,,,,,73.4,38.4,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
781,Attalea,cohune,,O. cohune,F,Steyermark,39210,Guatemala,15.28,15.46,88.5,-88.83,,,,,,,,,,69,3.2,,,,,,,,,72.5,43.8,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
154,Attalea,cohune,,O. cohune,NY,Balick,1710,Honduras,15.44,15.73,86.3,-86.5,,8,,,,,,,,,,,,,,,,,,64.5,40.2,1,1,,,,1,3,2,2,,,,,,,,,,,,,,2,,2,2,,,,1,2,2,,,
155,Attalea,cohune,,O. cohune,NY,Balick,1720,Honduras,15.5,15.83,85.52,-85.86,,,,34,15,150,,700,216,99.5,3.2,210,50,11.5,,13,34,7.5,,,,,1,,,,1,,2,2,,1,,2,3,1,2,2,2,3,2,,1,2,1,,,,,,,,,,,
156,Attalea,cohune,,O. cohune,NY,Balslev,8190,Mexico,18.14,18.23,89.05,-89.08,182,,,,,,,,,,,,,,,,,,,51.9,38.8,3,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,1,1,2,2,1,2,
,Attalea,cohune,,O. cohune,US,Cook,809,Guatemala,15.49,15.81,88.45,-88.75,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attalea,cohune,,O. cohune,US,Standley,24485,Guatemala,15.13,15.21,89.01,-89.01,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attalea,cohune,,O. cohune,K,Balslev,8186,Mexico,18.14,18.23,89.05,-89.08,193,,,,,,,,,,,,,,,,,,,,,,,2,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Attalea,cohune,,O. cohune,NY,Cordero,9,Belize,17.21,17.35,88.55,-88.91,200,,,,,,,,,,4.8,,,,,13,34,,,,,,,,,,,,,2,,1,2,2,3,1,2,2,2,3,2,,,,,,,,,,,,,,,
486,Attalea,cohune,,O. cohune,K,Balslev,8219,Mexico,18.06,18.1,88.59,-88.98,173,,7,30,15,,,614,179,71.5,3.3,,120,24,,,,25,60,64.6,38.5,1,1,,,,,3,,,,,,,,,,,,,,,,,,2,2,1,2,1,1,2,2,1,2,
521,Attalea,cohune,,O. cohune,BM,Whitefoord,1269,Belize,17.05,17.13,88.45,-88.75,,,,,,,,,,,,,,,,,,11.5,,,,,1,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Attalea,cohune,,O. cohune,BH,Trafton,151,Honduras,,,,,,,,,,,,,,,,,,,,,,9,,60.4,41.4,1,1,,,,1,,2,,,,,,,,,,,,,1,1,2,,2,2,,,,1,2,,,,
570,Attalea,cohune,,O. cohune,BH,Moore,6371,Belize,18.04,18.06,88.33,-88.55,,,,,,,,,,,,,,23,,,,,,83.4,43.3,,1,,1,,1,,2,,,1,,2,,,,,,,,,1,2,,2,2,,,,,,,,,
596,Attalea,cohune,,O. cohune,US,Cook,4.02,Guatemala,15.49,15.81,90.21,-90.35,,,,,,,,,,,3.3,,,,,,,,,77.3,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Attalea,cohune,,O. cohune,US,Jamieson,,Honduras,15.47,15.78,86.48,-86.8,,,,,,,,,,,,,,,,,,,,72.8,51,1,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,1,2,1,1,2,2,1,2,
695,Attalea,cohune,,O. cohune,MO,Croat,23436,Belize,17.33,17.55,88.21,-88.35,,10,2.5,,,,,,,,,,,20.5,,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
696,Attalea,cohune,,O. cohune,MO,Gentry,8596,Belize,17.04,17.06,88.36,-88.6,,10,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Attalea,cohune,,O. cohune,MO,Gentle,3234,Belize,16.57,16.95,88.24,-88.4,,,,,,,,,,,3.5,,,22.5,,5.4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Attalea,cohune,,O. cohune,MO,Yuncker,4970,Honduras,15.43,15.71,87.27,-87.45,,,,,,,,,,,3.3,,,,,,,,,61.4,36.3,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
721,Attalea,cohune,,O. cohune,MO,Spellman,1687,Belize,17.1,17.16,88.46,-88.76,,20,2,,,,,,,,,,,,,,,,,66.4,45.6,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
449,Attalea,cohune,,O. cohune,COL,Bernal,2793,Colombia,5.42,5.7,74.45,-74.75,180,,5,47,24,131,0,881,177,114,4.6,354,203,20,,5.2,28,9,127,76.4,48.3,,1,,1,,1,1,1,2,,,,2,3,1,2,2,2,3,2,,,,,2,2,,,,,,,,,brown
450,Attalea,cohune,,O. cohune,COL,Duque,61,Colombia,6,6,74.52,-74.86,370,,3,35,18,143,,,177,,,,,22,128,9.4,,,,70.1,44.8,1,1,,,,1,,1,,,,,,,,,,,,,,,2,,2,2,,,,1,2,,,,
,Attalea,cohune,,O. cohune,NY,Wilson,472,Honduras,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attalea,cohune,,O. cohune,NY,Balick,1736,Honduras,14.45,14.75,88,-88,600,10,,,,,,,,80,4.2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Attalea,cohune,,O. guacuyule,US,Palmer,1063,Mexico,19.07,19.11,104.18,-104.3,,,,,,,,,,,,,,,,,,,,65.2,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Attalea,cohune,,O. guacuyule,NY,Murrill,1910,Mexico,18.54,18.9,103.53,-103.88,,,,,,,,,,,,,,,,,,,,62.9,37.3,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,1,2,,,,
572,Attalea,cohune,,O. guacuyule,BH,Johannessen,,Mexico,16.2,16.33,98.03,-98.05,,,,,,,,,,,,,,,,,,,,66.9,38.2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
573,Attalea,cohune,,O. guacuyule,BH,Lewis,,Mexico,21.31,21.51,105.16,-105.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Attalea,cohune,,O. guacuyule,BH,Moore,8166,Mexico,18.56,18.93,103.58,-103.96,,,,,,,,,,,,,,,,,,8,,60.3,39.5,1,,,,,,,,,,,,,,,,,,,,1,1,2,,2,2,,,,1,2,,,,
575,Attalea,cohune,,O. guacuyule,BH,Philbrick,816,Mexico,21.32,21.53,105.12,-105.2,,,,,,,,,,,,,,21.5,,10.6,19,,,,,,,,,,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
576,Attalea,cohune,,O. guacuyule,BH,Moore,6199,Mexico,17.02,17.03,100.17,-100.28,,,,,,,,,,,6.6,,,9.5,,8.8,23,,,54.8,39.1,1,1,,,,1,,1,2,,1,,,,,,,,,,,1,2,,2,2,,,,1,2,,,,
582,Attalea,cohune,,O. guacuyule,BH,Moore,6405,Mexico,18.56,18.93,103.58,-103.96,,,,,,,0,,,,5.8,,,17,,8.6,,9,,52.2,37.1,1,,,1,,,,,,,1,,,,,,,,,,,,,,2,2,,,,,,,,,
597,Attalea,cohune,,O. guacuyule,US,Reno,34621,Mexico,15.55,15.91,95.44,-95.73,,,,,,,,,,,,,,,,,,,,65.2,46.1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
598,Attalea,cohune,,O. guacuyule,US,Ferris,6214,Mexico,19.03,19.05,104.2,-104.33,,,,,,,,,,,,,,,,,,,,64,41.2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
,Attalea,cohune,,O. guacuyule,BH,Philbrick,789,Mexico,21.34,21.56,105.14,-105.23,,,,,,,,,,69.5,3.7,,,22,,7,27,,,,,,,,,,1,,,,,1,2,2,3,1,2,2,2,3,2,,,,,,,,,,,,,,,
447,Attalea,colenda,,Y. colenda,COL,Castenada,5339,Colombia,1.43,1.71,78.44,-78.73,,,,,,,,550,146,,,,,15.5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
809,Attalea,colenda,,Y. colenda,AAU,Skov,64827,Ecuador,2.35,-2.58,79.3,-79.5,250,,,,,,,,,142,7.6,,,,,,,23.7,,,,,,,,,1,3,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,
147,Attalea,colenda,,Y. colenda,NY,Little,21208,Ecuador,0.51,0.85,79.28,-79.46,150,25,,40,,,,,,,5.8,,,,,,,20,,50.6,25.7,1,1,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,,1,2,2,
148,Attalea,colenda,,Y. colenda,NY,Dodson,14450,Ecuador,1.16,-1.26,79.54,-79.9,75,30,,,,,,,,,,,,23.5,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,Attalea,colenda,,Y. colenda,K,Pennington,14535,Ecuador,0.53,0.88,79.13,-79.21,,25,,45,,,,,,167,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Attalea,colenda,,Y. colenda,NY,Neill,11377,Ecuador,0.13,-0.21,79.54,-79.9,60,30,,50,,,,,,,,,,,,,,,,51.8,27.8,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,1,,,
150,Attalea,colenda,,Y. colenda,NY,Blicher-Mathiesen,62617,Ecuador,0.1,-0.16,79.38,-79.63,400,,16.23,63,26,297,0,680,146,193,5,,,,,12.4,12,,640,47.4,27.1,1,1,2,1,2,1,3,2,2,,1,1,1,7,1,2,2,2,3,1,,1,2,,2,2,,,,,,,,,
151,Attalea,colenda,,Y. colenda,NY,Balslev,62027,Ecuador,0.17,-0.28,79.38,-79.63,300,,10,30,20,250,,500,131,139,6,280,80,25.5,598,11.6,9,40,,,,1,1,,1,,1,,2,,1,1,,1,7,1,2,2,2,3,1,,,,,,,,,,,,,,,
152,Attalea,colenda,,Y. colenda,NY,Skov,64828,Ecuador,0.35,-0.58,79.56,-79.93,470,,14,39,19,228,,580,142,149,8.5,236,92,27,,12.3,10,35,,,,,1,,1,,1,3,1,2,,1,1,1,7,1,2,2,2,3,1,,1,2,,,,,,,,,,,,
153,Attalea,colenda,,Y. colenda,NY,Balslev,62114,Ecuador,1.1,-1.16,79.44,-79.73,200,,12,50,25,280,0,600,168,,8,290,130,,1000,,,,,,,,1,,1,,1,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,orange
